Id,gridcode,WShed_Name,Area_sqmet,Aspect_Azm,Aspect_Cls,Slope_deg
1,1,Indios Creek above Las Conchas burn,8979818.77575196,247.58825403500,270 WE,17.8764190673828089
1,10,San Antonio above Hot Springs,167762000.45499191,233.76110555000,225 SW,13.0149307250976598
1,11,Upper Sulfur Creek,11099772.21334887,273.59416100400,270 WE,14.0218257904052699
1,12,Lower Sulfur Creek,21370816.68328414,296.29063470700,315 NW,15.3530654907226598
1,13,Jaramillo Creek - West Branch,4381719.33818353,28.73391886430,045 NE,14.5700645446777308
1,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,351.33490467700,000 NO,13.9896192550659197
1,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,241.51862677700,225 SW,14.6845149993896502
1,16,Upper Redondo - Flume CZO,943636.54340280,314.57864366300,315 NW,14.6841897964477504
1,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,6.48938215190,000 NO,12.6635704040527308
1,18,Jaramillo Creek below burned areas,26640917.87399783,6.57160806642,000 NO,12.6764335632324201
1,19,San Antonio above San Antonio Campground,183268586.02548060,232.45217304900,225 SW,13.3136262893676793
1,2,San Antonio West,146211417.72133249,228.34408579700,225 SW,12.8407526016235405
1,20,Mirror Lake Trib,1362131.92567789,304.70987121500,315 NW,22.2827091217041016
1,21,ZOB Lower,316845.47776208,109.14529138100,090 EA,14.8735618591308594
1,22,History Grove - CZO,2441085.43817079,112.83702871800,135 SE,12.8223791122436506
1,23,History Grove - VCNP,2457517.10894452,113.00568896700,135 SE,12.8193397521972692
1,24,Redondo Creek - Sonde VCNP,27045726.37193896,255.80317152400,270 WE,18.0141181945800817
1,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,256.46945933500,270 WE,17.9825916290283203
1,26,LaJara Creek(just below VC0201) - Flume CZO,3503428.67476889,91.39890126620,090 EA,15.4063253402709996
1,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,256.62220292800,270 WE,18.4302253723144496
1,28,LaJara Creek - VCNP Sonde,3750171.64406365,95.55684822830,090 EA,15.3653764724731392
1,29,Lower Redondo Creek - Flume CZO,13276254.17051292,280.54361629300,270 WE,19.3977184295654297
1,3,Indios Creek,14089443.26873789,223.05981257700,225 SW,17.4104995727539098
1,30,LaJara Creek - Flume CZO,3755887.00781138,95.59226298570,090 EA,15.3514137268066406
1,31,Rio Cebolla - Upper Site,139149103.48292944,241.09841349300,225 SW,16.1413917541503906
1,32,Redondo Meadow,1351594.22376813,237.04681310800,225 SW,22.6885223388671911
1,33,Jaramillo Creek above EFJ confluence,41446924.87260224,142.83972957700,135 SE,10.9910640716552699
1,34,EFJ above Jaramillo Cr confluence,33347272.11399224,263.66048718500,270 WE,10.4687118530273402
1,35,Valle Grande Pond trib,10313373.88269125,121.08574230200,135 SE,7.5048036575317383
1,36,LaJara West Branch,14117841.48235912,97.70995886840,090 EA,14.0027389526367205
1,37,East Fork Jemez,89814976.63852756,218.87755791300,225 SW,10.2822914123535192
1,38,EFJ at Hidden Valley,111091221.91230069,142.62817067700,135 SE,10.7789411544799805
1,39,Rio San Antonio at Battleship Rock,271783763.92420042,241.06812012900,225 SW,14.4220314025878906
1,4,Lower San Antonio - Gauge site,158274318.02872467,233.42806185200,225 SW,12.8707494735717791
1,40,East Fork Jemez at Battleship Rock,175001758.87725216,229.04925979600,225 SW,12.5598669052124006
1,41,Rio Cebolla - Lower Site,171213455.04068416,239.95553698900,225 SW,15.6602106094360405
1,42,Jemez River @ VCNP SEC,470995714.33407176,233.66777544000,225 SW,14.0401277542114293
1,43,Vallecitos Creek in Paliza Canyon,31242857.32158426,237.53740445100,225 SW,17.8936767578125000
1,44,Jemez River @ USGS Gage - Canon,1222101405.94202232,190.21978139800,180 SO,14.1810483932495099
1,5,San Luis Creek,12970571.51257052,23.19736054530,045 NE,13.4522876739502006
1,6,Santa Rosa Creek,17663063.75453443,331.93084234700,315 NW,11.8736667633056605
1,7,Indios above San Antonio confluence,18024471.20901659,208.10343485400,225 SW,16.5296325683593786
1,8,San Antonio above Indios confluence,50275197.20648122,256.77329873700,270 WE,12.3278427124023402
1,9,Upper San Antonio - Gauge site,50178036.02277068,256.79509924200,270 WE,12.3235826492309606
